Synonym	Gene	baseMean	Ketamine log2FC	Ketamine stat	Ketamine padj	Ketamine log10FC	Propofol log2FC	Propofol stat	Propofol padj	Propofol log10FC
VK055_0335	-	13.5186768662658	-5.9324556395278	-3.4479145276003504	0.0136733439959635	-1.7858470954438144	-0.604591738	-0.47487216299999996	0.854940829	-0.18200024826861888
VK055_0370	-	27.084459590513703	-2.65357727074112	-3.14714492254556	0.0289606422639912	-0.7988063543052384	-2.022146835	-2.4502097259999998	0.125600527	-0.6087268529719833
VK055_0371	-	20.4178456177115	-3.9262078712781103	-2.97628410701208	0.0437220354509162	-1.1819063384667383	-0.9659352529999999	-0.7944698370000001	0.728388661	-0.29077548502227657
VK055_0512	-	24.012347290950103	-3.66603789276536	-3.01866953910671	0.039585499421539	-1.103587370963147	-1.7853584009999999	-1.542367342	0.4228483	-0.5374464317116824
VK055_0873	-	18.9700997301073	-4.653245129647231	-2.92621162380199	0.0477725060517067	-1.4007663612011476	1.034305547	0.8439234309999999	0.709694875	0.3113569943286417
VK055_1064	-	8.05646524668721	-6.27194842616436	-2.9271762268887205	0.0477725060517067	-1.8880446075329709	-0.900411099	-0.49608799600000003	0.847859164	-0.2710507492277706
VK055_1132	-	19.815074140557602	-6.3330375524076405	-3.33814261289922	0.0184794363554947	-1.906434266941102	1.392653966	0.932696801	0.668981717	0.41923061734640615
VK055_1193	trpE	40.1125086168098	-9.03838794694826	-2.94198073827148	0.046445875094178996	-2.720825884479215	-3.0029636039999996	-1.054590812	0.622172298	-0.9039821206912132
VK055_1285	-	27.585072271704	-5.07195748773671	-4.1299693740275405	0.0015632519852787198	-1.5268113405412789	-1.8264966130000002	-1.70922503	0.354400059	-0.5498302674916664
VK055_1335	-	55.700667212526504	-2.61268510012051	-3.01271676031101	0.0401483971430528	-0.7864965843606254	-2.255112854	-2.615337353	0.095471504	-0.6788566126614083
VK055_1443	-	15.8642126240784	-6.73395930658152	-3.63865022362674	0.00770916547703419	-2.0271237408616605	0.25560996	0.177787948	0.957326472	0.07694626515047041
VK055_1897	-	40.725921268884704	-2.82508671910698	-3.3269133715877794	0.0190396345712442	-0.8504358428031451	-1.621379717	-1.960431141	0.265787818	-0.48808392917817706
VK055_1906	phyK	60.995806672937604	-2.5728215496733395	-3.0416589682812702	0.0375273383550305	-0.7744964599423628	-2.311794122	-2.744117715	0.073823981	-0.6959193745216772
VK055_1908	mtnK	82.4532186961543	-2.12873340804689	-3.50140294807632	0.0116066321843911	-0.6408126085941273	-1.054199687	-1.7633753030000001	0.33701532799999995	-0.31734572720658033
VK055_1927	entS	32.5374999332025	-3.00799396026148	-3.07295595882174	0.034601838184362	-0.905496408814795	-2.484390349	-2.572271198	0.103922165	-0.7478760159871066
VK055_1931	entF	33.0296040578328	-3.26845451882704	-3.1416446156280498	0.0293862004809802	-0.9839028496304236	-2.0882837690000002	-2.061322239	0.23126539899999998	-0.6286360539272323
VK055_1933	fes	40.1780453284746	-2.64956385507059	-3.03852624865	0.0377749973016741	-0.797598195803341	-2.200595489	-2.548681087	0.10776582400000001	-0.6624452505118466
VK055_1978	bepE	159.688927313963	-3.21590475408691	-4.23709749660816	0.0010358451216246698	-0.9680837941785589	-0.493746819	-0.66390832	0.7856917609999999	-0.14863260278267454
