Synonym	Gene	baseMean	Ketamine log2FC	Ketamine stat	Ketamine padj	Propofol log2FC	Propofol stat	Propofol padj
VK055_0001	-	0.0						
VK055_0002	-	0.0						
VK055_0003	-	0.0						
VK055_0004	-	0.0						
VK055_0005	-	0.0						
VK055_0006	-	0.0						
VK055_0007	-	0.0						
VK055_0008	-	0.0						
VK055_0009	-	0.0						
VK055_0010	-	0.0						
VK055_0011	-	86.8886523261551	0.0343672023673687	0.058034114982226	0.977916850988206	-1.067060812	-1.7812264119999999	0.330332958
VK055_0012	-	46.9543078151075	0.924171467529361	0.8820432333918341	0.675223326641928	1.161582335	1.1097791609999998	0.601471675
VK055_0013	ompC	543.748395589859	2.36370858885264	4.103941939171331	0.00169088337353789	1.56279344	2.710861013	0.078559846
VK055_0014	-	78.37401339960529	0.44201358508988997	0.659692359764884	0.7582572898005201	-1.4563100340000001	-2.13174635	0.20998217100000002
VK055_0015	-	35.1696835130169	-1.6763749617986101	-1.5669772846390502	0.382651117752742	-0.12906173199999998	-0.122476719	0.969174037
VK055_0016	dcm	283.711411655276	2.176096586015	3.24674056418711	0.0227734149281457	1.933035684	2.883013355	0.056406684000000006
VK055_0018	-	35.23873636411471	-0.21897250452428896	-0.22369963010383498	0.9252805309003269	0.70869363	0.729352952	0.7598181009999999
VK055_0017	-	161.726186271872	0.8963776723351491	1.27114779583379	0.502015096342307	0.5625899910000001	0.7970463109999999	0.728240542
VK055_0019	yedI	82.3660334985475	0.420499633202472	0.598364282014459	0.785704624277803	1.980128673	2.845649208	0.059624975
VK055_0020	-	323.848426634053	1.57706941862928	3.1802146279367296	0.0271084998307814	0.9692407759999999	1.951263714	0.27082619199999997
VK055_0021	-	82.2803063735727	0.37537035330781604	0.45302660617476204	0.8409326236086899	1.7519839430000002	2.127425212	0.211039434
VK055_0022	-	19.7817493004901	0.897139738962358	0.696956758970407	0.746864729435147	0.21300722100000002	0.164645429	0.961029288
VK055_0023	rcsA	43.2795917821515	0.7240679939610809	0.713842658827021	0.740559805999293	1.8483793730000002	1.833119795	0.315053902
VK055_0024	-	87.62688137942341	2.1116711286220697	2.88927896866326	0.051520641370299	1.288875425	1.7569173219999998	0.33910065
VK055_0025	amyK38	393.53577798992006	1.96672427194058	2.75113865280782	0.0681086301019955	1.94089777	2.714950758	0.077951833
VK055_0026	-	259.673997583859	1.3082990004466297	2.04866375499101	0.21998458445279698	1.225925998	1.919370113	0.279102737
VK055_0027	dcyD	96.50409828607	-0.0816390186254082	-0.112455274856924	0.9593424565066541	-0.048641327000000005	-0.067015077	0.98300186
VK055_0028	-	282.703302618002	-0.33898134481376	-0.614885242805294	0.7775030546929841	0.8716589690000001	1.587291249	0.40486300299999994
VK055_0029	-	97.16933760966299	1.3285851511556102	2.1327909675759398	0.196190323620545	0.32613474800000003	0.520215711	0.8413406090000001
VK055_0030	-	124.592071075475	2.7289917739581697	2.79316329691076	0.0629457575322037	2.366210527	2.420430853	0.131917141
VK055_0031	-	0.0						
VK055_0032	-	104.30636285089001	1.4007220607762199	1.44319973823006	0.428359968688119	1.311815787	1.351348415	0.5052345770000001
VK055_0033	uvrC	373.01405934801005	0.8134356703708041	1.7048335866829398	0.332296793469398	0.724257155	1.517578879	0.433504273
VK055_0034	pgsA	0.0						
VK055_0035	-	0.0						
VK055_0036	-	0.0						
VK055_0037	-	0.0						
VK055_0038	dapA2	51.1722570924746	0.406986382721419	0.624434511034463	0.7721745140689901	0.22060511300000002	0.33777104	0.906278335
VK055_0039	-	141.897136035588	1.9618722924724201	2.66945103995553	0.0798537933865339	-0.15151377900000002	-0.20448256199999998	0.947606738
VK055_0040	tyrP	435.48113830015603	1.4357272436175201	2.8898841567772298	0.051520641370299	1.670297814	3.3635873910000003	0.0179181
VK055_0041	-	0.0						
VK055_0042	-	13.8371532272127	1.7771628136867699	1.1347662441435	0.560177458649215	-0.68068368	-0.424239388	0.8775766970000001
VK055_0043	-	0.0						
VK055_0044	-	61.935768671758396	0.4766063527548561	0.46604505471140795	0.8370373615032192	-0.567118915	-0.5520219829999999	0.8310035729999999
VK055_0045	-	244.228132691415	0.502413475239248	0.8752002021660921	0.675223326641928	1.281466585	2.237404695	0.179288444
VK055_0046	-	0.0						
VK055_0047	-	1098.4347897690302	1.15020927529746	1.75770858398388	0.315881457663208	2.138511017	3.269514528	0.022918991
VK055_0048	-	0.0						
VK055_0049	-	199.171181125275	1.8162823135539699	2.17803168074936	0.182697779720841	2.315500265	2.778716629	0.06959378599999999
VK055_0050	-	0.0						
