Synonym	Gene	baseMean	Ketamine log2FC	Ketamine stat	Ketamine padj	Ketamine log10FC	Propofol log2FC	Propofol stat	Propofol padj	Propofol log10FC
VK055_0354	-	16.632643664925098	-2.0078915751338	-1.8685934858313102	0.28001233591323804	-0.6044355921562722	-3.390302993	-2.98885793	0.046063148	-1.0205828952823726
VK055_0373	-	25.669769902505003	-2.32834780170752	-2.50756515067238	0.104995842371667	-0.7009025286522549	-2.805190872	-2.976838325	0.04755447	-0.8444465960347995
VK055_0395	ccmC	26.2227010393697	-1.49449550408743	-1.3603779544567298	0.46475333652687495	-0.44988797511527845	-3.521330527	-3.05602812	0.039792793	-1.0600261132742546
VK055_0626	-	18.2138821199098	-1.03798708491407	-0.86568691125054	0.679618670892252	-0.31246524767095096	-4.670475122	-3.358403158	0.018162004	-1.4059531057243921
VK055_1442	rutD	7.92462943510316	-3.5995326186368	-1.84262728460699	0.28651714901793	-1.0835672885805947	-6.769666583999999	-3.096288263	0.03580427	-2.037872702428118
VK055_1593	-	26.4642629141362	-3.79749984628048	-2.6723128670652203	0.0793924963118399	-1.1431613622597823	-4.346515227	-3.008007675	0.043774948	-1.3084314599372384
VK055_1893	-	64.3816678630048	-2.51209674801934	-2.6678271388474197	0.0798537933865339	-0.7562164731637632	-3.056533258	-3.2219537910000002	0.025843556	-0.9201081934025543
VK055_1914	-	48.117957443123395	-0.477851879336308	-0.6034262423908261	0.782653882530033	-0.14384774916463408	-2.447279385	-2.994526276	0.045384547000000004	-0.7367045026551005
VK055_1957	-	28.7549546994492	-3.1260685515306004	-2.8567048398811603	0.0553858221356186	-0.9410404025125646	-6.153671198	-4.5660967569999995	0.00029947299999999997	-1.8524396140515058
VK055_2073	-	100.41386683415001	-1.688865007572	-2.2574383536695697	0.16180169110070902	-0.5083990259064487	-2.345872424	-3.116003809	0.034159678	-0.706177965624973
VK055_2258	-	78.6044658163224	1.42180415285298	2.15482079459593	0.189744307930344	0.42800569796836296	-2.742206041	-3.826808002	0.004632536	-0.8254862726319732
VK055_2715	-	43.3383996820834	-2.43126521091712	-2.74623605556448	0.06856821731957101	-0.7318837559003689	-3.231455448	-3.5818851589999996	0.009375606	-0.9727650194997884
VK055_2718	-	13.623176041017098	-2.99430166821366	-2.12223449997837	0.199694390465917	-0.9013746181990098	-5.045154935	-3.173461252	0.02949341	-1.5187429682071634
VK055_2807	pyrB	73.3427065878405	-1.316301637823	-1.65633226184019	0.34889034907208505	-0.39624627632634907	-4.632659417	-5.374473561	7.72e-06	-1.3945694442122116
VK055_2837	-	90.48525128001621	-1.210525763495	-1.71929340177781	0.32768195018427904	-0.3644045653360374	-2.328166593	-3.266080478	0.022977814	-0.700847979395816
VK055_2911	-	14.0244939714504	-3.61380658200176	-2.8846498905102798	0.0519581134733126	-1.0878641797104565	-3.72363982	-2.9549722689999998	0.049800227999999995	-1.1209272788688276
VK055_2916	-	64.39638448003299	-1.08026093379114	-1.55038948248124	0.38943050978142896	-0.32519094421511513	-2.386757119	-3.3555941060000003	0.018251905	-0.7184854851835462
VK055_2973	phnM	59.055009775425994	0.619514869730691	0.619300935967152	0.774375900819691	0.18649255854880178	-3.718101641	-3.4803062989999995	0.013113732	-1.1192601208684714
VK055_2975	phnP	40.81503194965521	-0.34701399524677196	-0.3685145549945039	0.8723806414727908	-0.10446162148447653	-3.750644131	-3.6997204189999997	0.00672591	-1.1290563864920666
VK055_3041	-	112.83569002375499	-1.25694570023404	-1.57424367432239	0.379273699585269	-0.3783783586913129	-2.63236863	-3.2623360569999997	0.023173173	-0.7924219172749002
VK055_3046	ubiC	18.037408399641603	-2.3096083546522594	-1.46588665261814	0.4195098186502	-0.6952613929864644	-7.805104266	-4.011594845	0.002494126	-2.3495705033509013
VK055_3102	-	110.69521371146001	-1.0895164633257801	-1.6556076817326497	0.34889034907208505	-0.3279771362307957	-2.959751597	-4.393509663	0.000609313	-0.8909740104113714
VK055_3140	-	76.18941522456679	-0.0517149270520289	-0.0585476200235847	0.9777382742940308	-0.015567744266235367	-2.68352806	-2.9663687889999997	0.048665134000000006	-0.8078224402659718
