	Synonym	Gene	baseMean	Ketamine log2FC	Ketamine stat	Ketamine padj	Ketamine log10FC	Propofol log2FC	Propofol stat	Propofol padj	Propofol log10FC	ket/xyl_E1004_01	ket/xyl_E1004_03	ket/xyl_E1004_04	propofol_E1004_05	propofol_E1004_06	propofol_E1004_08	input_E1004_13	input_E1004_14	input_E1004_15
71	VK055_0072	ruvB	11.176789917019999	-7.36484521336547	-3.6763029660828095	0.00684115242057028	-2.2170393226452996	-7.379301718	-3.683519206	0.007020062	-2.221391164172749	0.0	0.0	0.0	0.0	0.661824075	0.0	44.06899696	45.75390767	34.01995741
101	VK055_0102	-	8.08332531657379	-6.89735995100753	-3.10750693644119	0.0321903220444445	-2.0763122361447146	-6.911816449	-3.114020105	0.034159678	-2.080664075672704	0.0	0.0	0.0	0.0	0.0	0.0	31.09508425	31.84760188	24.9720964
121	VK055_0122	pabB	25.240609318597304	-4.59316475042985	-3.95766666993851	0.00291739474712949	-1.382680364905849	-5.924036962000001	-4.500578173	0.000389451	-1.7833128209841245	0.0	0.0	3.567675535	0.0	0.0	0.0	61.55557495	99.14547552	104.0865931
136	VK055_0137	dsbB	30.6654412147432	-8.8073638744465	-5.59112240955622	2.2907309126529598e-06	-2.6512807089357344	-6.885009535	-4.777790658	0.000120654	-2.0725943904675197	0.0	0.0	0.0	0.0	0.0	0.0	126.3546281	114.8531163	79.33164536
139	VK055_0140	fadR	13.339124781695599	-5.084961396734251	-3.10381437288109	0.0324617404715664	-1.5307259072104231	-6.618528049	-3.591585619	0.009214427	-1.992375469892408	3.940776371	0.0	0.0	0.0	0.0	1.085903431	57.88903441	48.49193679	35.03331784
296	VK055_0297	ppsA	48.0868230505816	-6.98694063157992	-5.2394574993130805	1.26987955570788e-05	-2.1032787080289967	-5.4348675439999985	-4.733197121	0.000141735	-1.636058153204632	0.0	0.0	0.0	0.0	9.118465039	0.0	175.8529255	166.22718899999995	171.1855304
333	VK055_0335	-	13.5186768662658	-5.9324556395278	-3.4479145276003504	0.0136733439959635	-1.7858470954438144	-0.604591738	-0.474872163	0.854940829	-0.18200024826861888	1.0672936000000002	0.686696289	0.0	22.42623935	2.1325442430000003	7.094569086	9.095840973	37.61187371	44.58785907
369	VK055_0370	-	27.084459590513703	-2.65357727074112	-3.14714492254556	0.0289606422639912	-0.7988063543052384	-2.022146835	-2.450209726	0.125600527	-0.6087268529719833	6.321662095	7.063161834	9.42885677	0.0	13.38355352	18.38796477	44.63308012	86.31997069	84.83274486
370	VK055_0371	-	20.4178456177115	-3.9262078712781103	-2.97628410701208	0.0437220354509162	-1.1819063384667383	-0.965935253	-0.7944698370000001	0.728388661	-0.29077548502227657	0.0	0.0	5.691291924	15.72148738	12.64819344	12.59647981	22.70434723	60.59690764	61.95975222
495	VK055_0496	slyA	8.74019078959476	-7.010031719789232	-3.23616412232019	0.0233489769858	-2.1102298182125225	-7.024488219	-3.24283793	0.024701834	-2.114581658107257	0.0	0.0	0.0	0.0	0.0	0.0	39.27429009	26.94797082	31.84847077
511	VK055_0512	-	24.012347290950107	-3.66603789276536	-3.01866953910671	0.039585499421539	-1.103587370963147	-1.785358401	-1.542367342	0.4228483	-0.5374464317116824	3.530278832	0.0	3.482730879	0.0	16.54560188	6.370633465	41.38960194	69.24331539	72.38288811
872	VK055_0873	-	18.9700997301073	-4.653245129647232	-2.92621162380199	0.0477725060517067	-1.4007663612011476	1.034305547	0.8439234309999999	0.709694875	0.3113569943286417	0.0	0.0	1.274169834	10.51952464	84.78701766	11.43818281	17.3455572	30.26242712	18.45763647
990	VK055_0991	manA	35.8053942608134	-9.044578460183713	-5.908449248972219	4.35655640281987e-07	-2.7226894146516405	-9.059034977	-5.917893094	4.979999999999999e-07	-2.727041259846164	0.0	0.0	0.0	0.0	0.0	0.0	125.1559514	138.342524	131.5197077
1063	VK055_1064	-	8.05646524668721	-6.27194842616436	-2.9271762268887205	0.0477725060517067	-1.8880446075329709	-0.900411099	-0.496087996	0.847859164	-0.2710507492277706	0.0	0.0	0.0	13.29390477	0.367680042	9.338769511	15.86483891	19.52647083	24.75494773
1131	VK055_1132	-	19.815074140557602	-6.3330375524076405	-3.33814261289922	0.0184794363554947	-1.9064342669411019	1.392653966	0.932696801	0.668981717	0.41923061734640615	0.0	0.0	0.934391211	33.29256151	0.0	83.83174491	25.45425264	17.86924268	17.009978699999998
1192	VK055_1193	trpE	40.1125086168098	-9.03838794694826	-2.94198073827148	0.046445875094179	-2.7208258844792144	-3.002963604	-1.054590812	0.622172298	-0.9039821206912132	0.0	0.0	0.0	31.09617724	0.0	0.0	94.90699185	132.5782522	157.867079
1193	VK055_1194	trpD	36.7966796389686	-9.08405472654809	-5.91439234300328	4.333462124082721e-07	-2.7345729549441398	-9.098511242999999	-5.923804606	4.970000000000001e-07	-2.7389248000289736	0.0	0.0	0.0	0.0	0.0	0.0	92.36861763	146.84482490000005	169.3759582
1194	VK055_1195	-	44.752539947294	-9.35877491803931	-6.27141249101487	7.092708588086539e-08	-2.817271972997549	-7.528689068999999	-5.48232342	4.53e-06	-2.2663612377965325	0.0	0.0	0.0	0.0	0.0	0.0	100.4068027	189.9327569	199.9215369
1195	VK055_1196	trpB	57.943526487260286	-9.73910917778612	-6.730180396383999	6.41302074882026e-09	-2.9317639935599953	-9.753565696	-6.740170527	6.36e-09	-2.9361158391752364	0.0	0.0	0.0	0.0	0.0	0.0	152.16143269999995	238.7849607	250.8790902
1196	VK055_1197	trpA	15.916589817182901	-7.875061379053769	-4.28679875183748	0.000847878537890499	-2.370629692790142	-7.889517887999999	-4.294668169	0.000899576	-2.3749815356155417	0.0	0.0	0.0	0.0	0.0	0.0	30.88355307	68.81099499999999	74.04769453
1284	VK055_1285	-	27.585072271704	-5.07195748773671	-4.1299693740275405	0.0015632519852787198	-1.5268113405412789	-1.826496613	-1.70922503	0.354400059	-0.5498302674916664	4.433373417	0.686696289	0.0	0.0	7.794816888	16.57812572	14.17258942	110.457859	110.3839044
1334	VK055_1335	-	55.700667212526504	-2.61268510012051	-3.01271676031101	0.0401483971430528	-0.7864965843606254	-2.255112854	-2.615337353	0.095471504	-0.6788566126614083	0.0	5.003072966	5.861181235	0.0	19.26643419	36.05199393	41.17807076	208.37842680000003	204.0473616
1442	VK055_1443	-	15.8642126240784	-6.73395930658152	-3.63865022362674	0.00770916547703419	-2.0271237408616605	0.25560996	0.177787948	0.957326472	0.07694626515047041	0.0	0.0	0.0	47.28006129999999	15.36902575	1.882232615	18.75576511	31.19912129	31.70370499
