Contig	Start	End	Strand	Length	PID	Gene	Synonym	Code	COG	Product	ket/xyl_E1004_01	ket/xyl_E1004_03	ket/xyl_E1004_04	propofol_E1004_05	propofol_E1004_06	propofol_E1004_08	input_E1004_13	input_E1004_14	input_E1004_15
CP009208	15	227	+	213	AIK78632.1	-	VK055_0001	-	-	lambda phage tail tape-measure family protein	0	0	0	0	0	0	0	0	0
CP009208	2012	2512	+	501	AIK78633.1	-	VK055_0002	-	-	putative kinase domain protein	0	0	0	0	0	0	0	0	0
CP009208	2784	2936	+	153	AIK78634.1	-	VK055_0003	-	-	hypothetical protein	0	0	0	0	0	0	0	0	0
CP009208	2998	3153	+	156	AIK78635.1	-	VK055_0004	-	-	putative kinase domain protein	0	0	0	0	0	0	0	0	0
CP009208	3150	5027	+	1878	AIK78636.1	-	VK055_0005	-	-	phage tail family protein	0	0	0	0	0	0	0	0	0
CP009208	5102	7255	+	2154	AIK78637.1	-	VK055_0006	-	-	hypothetical protein	0	0	0	0	0	0	0	0	0
CP009208	7268	8002	+	735	AIK78638.1	-	VK055_0007	-	-	hypothetical protein	0	0	0	0	0	0	0	0	0
CP009208	8068	10410	-	2343	AIK78639.1	-	VK055_0008	-	-	GDSL-like Lipase/Acylhydrolase family protein	0	0	0	0	0	0	0	0	0
CP009208	10502	11080	+	579	AIK78640.1	-	VK055_0009	-	-	"resolvase, N terminal domain protein"	0	0	0	0	0	0	0	0	0
CP009208	11930	12055	+	126	AIK78641.1	-	VK055_0010	-	-	helix-turn-helix domain of resolvase family protein	0	0	0	0	0	0	0	0	0
CP009208	12204	12401	+	198	AIK78642.1	-	VK055_0011	-	-	hypothetical protein	58.29065048	119.2889554	114.930119	39.76611513	40.3712686	59.29032736	164.2187103	119.4645337	98.5854936
CP009208	12404	12730	+	327	AIK78643.1	-	VK055_0012	-	-	hypothetical protein	0	82.30545526	53.51513302	10.51952464	144.4247205	18.24317765	50.48544292	26.15538344	24.10350174
CP009208	13222	14367	-	1146	AIK78644.1	ompC	VK055_0013	-	-	outer membrane protein C	684.7919939	430.8528719	1083.893805	129.4710725	727.3446589	495.461539	194.8202218	148.2138395	160.8347774
CP009208	15011	15187	+	177	AIK78645.1	-	VK055_0014	-	-	putative outer membrane protein N	49.01340611	80.14726692	192.7394235	26.70340871	27.79661117	25.48253386	110.4897892	103.9009998	101.0465118
CP009208	15230	15937	+	708	AIK78646.1	-	VK055_0015	-	-	HD domain protein	0	15.59781572	26.41778789	15.83708655	35.88557209	77.53350501	62.54272049	53.96799503	56.53103561
CP009208	16020	17414	+	1395	AIK78647.1	dcm	VK055_0016	-	-	cytosine-specific methyltransferase	120.9325749	467.1496758	547.6381945	71.09349071	392.3881407	515.3697686	132.5595429	97.48824737	102.7837011
CP009208	17395	17889	+	495	AIK78648.1	-	VK055_0018	-	-	DNA mismatch endonuclease of the very short patch (VSP) mismatch repair pathway	13.21802074	12.94913003	46.54967126	0	86.99309791	50.67549347	42.58827866	32.92840284	34.96093496
CP009208	17864	18775	-	912	AIK78649.1	-	VK055_0017	-	-	eamA-like transporter family protein	43.26644057	339.8165638	178.1289428	34.33295405	196.0469983	190.1778876	135.2389379	116.9426648	109.0810124
CP009208	18959	19870	+	912	AIK78650.1	yedI	VK055_0019	-	-	conserved inner membrane protein	31.44411146	78.18527753	35.84664466	206.3445218	85.52237774	109.9658208	57.67750322	37.61187371	50.37849012
CP009208	19986	21665	+	1680	AIK78651.1	-	VK055_0020	-	-	diguanylate cyclase domain protein	341.3697531	313.8202043	673.4412295	242.8738601	286.1286086	359.8683972	238.2546252	169.2534317	190.801293
CP009208	21965	22189	-	225	AIK78652.1	-	VK055_0021	-	-	hypothetical protein	47.12511743	81.5206595	26.67262185	21.84824349	285.3932485	114.8885831	56.33780571	56.41781056	48.93083236
